"Gene_symbol"	"ACC_Log2FC"	"BLCA_Log2FC"	"BRCA_Log2FC"	"HNSC_Log2FC"	"KIRC_Log2FC"	"LAML_Log2FC"	"LGG_Log2FC"	"LIHC_Log2FC"	"LUAD_Log2FC"	"LUSC_Log2FC"	"PAAD_Log2FC"	"SKCM_Log2FC"	"THCA_Log2FC"
"A2M-AS1"	-0.569	-0.868	-0.73	-0.012	-0.019	1.66	-0.377	-0.066	-1.078	-0.95	0.301	0.516	-0.588
"A4GALT"	-1.04	-0.693	-1.04	0.564	0.701	0.773	0.136	0.715	-1.037	0.491	2.503	-2.429	-1.578
"AACS"	0.853	0.415	-0.009	0.154	-0.476	-0.245	-1.468	0.846	0.445	0.736	1.104	-2.277	-0.255
"AADACP1"	-0.602	0.007	-0.254	0.029	0.06	0.151	0.07	0.145	0.114	1.345	0.653	-0.066	-0.915
"AADAT"	-0.52	0.018	-0.693	0.04	-0.444	0.449	0.246	-2.143	-0.518	-0.639	-0.309	0.471	-0.768
"AAK1"	-0.663	0.001	-0.066	0.652	-0.63	2.553	-0.821	0.388	-0.466	-0.079	0.369	0.311	-0.978
"AASDH"	-0.536	-0.396	-0.035	0.212	-0.357	0.253	0.788	-0.106	-0.072	0.026	0.725	-0.305	-0.579
"AASS"	-1.551	-1.15	-2.558	-0.326	-0.913	0.211	1.401	-1.52	-2.016	-1.873	-1.415	-0.524	-2.014
"AATK"	-0.834	-0.72	-0.621	0.325	0.483	0.753	-1.17	-0.177	-2.564	-3.024	-0.872	0.873	-1.456
"ABAT"	0.541	-0.538	1.115	-0.577	-2.139	2.91	0.889	-0.872	-0.332	-0.771	-1.271	-0.718	0.284
"ABCA1"	-2.953	-1.208	-1.242	0.965	1.436	2.237	2.736	-0.674	-0.974	-0.578	1.103	-0.718	-0.034
"ABCA10"	-1.429	-0.426	-3.431	0.011	0.072	0.5	-1.472	-0.936	-2.254	-2.24	-0.718	-2.765	-3.129
"ABCA5"	-1.141	-0.502	-1.863	-0.479	-0.232	1.48	-2.116	-0.694	-1.193	-0.66	-1.512	-2.138	-1.214
"ABCA6"	-1.994	-2.339	-3.227	-0.225	-0.757	0.19	-0.106	-0.56	-2.626	-2.959	0.538	-2.819	-3.436
"ABCA8"	-2.308	-3.182	-4.025	-1.293	-1.46	-3.572	0.706	-1.7	-3.574	-4.179	0.245	-2.605	-2.971
"ABCA9"	-1.702	-1.968	-3.732	-0.103	-0.429	0.458	-1.196	-1.389	-2.52	-2.679	-0.195	-2.557	-3.366
"ABCB1"	-1.874	-1.421	-1.691	-0.213	-1.429	1.458	0.306	0.735	-0.965	-1.314	1.775	-0.182	-0.969
"ABCB10"	-0.868	-0.224	0.318	0.221	0.252	-0.049	0.366	0.604	0.034	0.029	1.085	0.184	-0.567
"ABCB7"	-0.568	-0.424	-0.088	0.034	0.253	0.023	1.354	0.208	-0.156	-0.26	1.016	-0.255	-0.184
"ABCB9"	0.58	0.741	0.272	0.772	-0.087	-0.312	-1.154	0.399	0.609	0.673	1.294	0.796	-0.057
"ABCC3"	-2.903	0.021	-0.822	0.387	2.468	0.697	-0.224	-0.915	1.403	-1.143	0.959	-3.443	0.183
"ABCC5"	-0.815	-0.167	0.534	0.908	-0.786	-0.31	-0.784	0.361	-0.321	2.122	1.056	0.296	-2.063
"ABCC6P1"	-0.951	-0.013	-0.31	-0.021	0.235	-0.013	0.588	-0.009	0.399	-1.278	-0.552	-0.124	1.65
"ABCC6P2"	1.011	-0.038	-0.095	-0.046	0.288	-0.214	1.138	1.071	0.569	-0.842	0.303	-0.04	2.023
"ABCC8"	-0.817	-0.713	0.343	-0.151	-0.265	-0.083	-1.458	-0.012	-2.707	-3.017	0.071	-0.618	-2.233
"ABCC9"	-0.89	-1.854	-1.668	0.037	0.13	-0.201	0.548	-1.268	-1.168	-1.593	0.602	-1.075	-1.785
"ABCD3"	-0.578	0.127	0.928	-0.59	-0.933	0.215	1.438	-0.08	0.184	-0.341	0.888	-0.419	0.187
"ABCD4"	-0.861	-0.018	-1.105	0.368	0.164	1.443	0.72	-0.067	-0.781	-1.051	1.072	-0.516	-0.933
"ABCF3"	-0.529	0.44	0.162	0.807	-0.051	0.255	0.037	0.098	-0.341	0.511	0.53	0.052	-0.766
"ABCG1"	-1.958	-0.226	0.568	1.008	1.516	2.805	1.866	0.783	-1.115	-0.777	2.998	-1.238	-0.002
"ABHD11"	0.548	0.728	0.932	0.01	-0.273	-1.37	-0.022	0.446	1.06	0.513	0.974	-0.243	-0.407
"ABHD11-AS1"	0.536	0.621	0.399	-0.933	1.236	0.138	0.098	0.124	0.938	-0.818	2.436	0.465	1.598
"ABHD12"	0.512	0.831	0.935	0.221	0.236	0.796	-0.021	1.488	0.519	0.21	0.466	0.544	-0.015
"ABHD14B"	-0.721	-0.32	-0.426	-0.569	-0.907	-0.384	0.832	0.088	-0.02	-0.685	1.028	0.72	0.422
"ABHD5"	-0.842	-0.074	-0.332	-0.6	-0.727	-1.394	1.65	0.238	-0.622	-0.563	0.75	-1.702	-0.101
"ABI1"	-0.61	-0.166	0.346	0.07	-0.029	0.359	1.229	0.639	0.074	0.6	1.883	-0.359	0.239
"ABI3"	-0.703	-0.476	0.09	0.485	1.3	2.643	2.195	0.478	-0.858	-1.327	2.217	0.835	-0.245
"ABI3BP"	-1.736	-3.498	-2.112	-1.322	0.799	0.397	2.996	-0.579	-3.012	-3.792	1.984	-2.369	-2.557
"ABLIM1"	-4.102	-1.484	-1.394	-0.876	-0.777	3.14	0.838	-0.123	-0.821	-0.524	1.796	-3.768	-1.116
"ABLIM3"	-1.131	-1.175	-2.162	-0.976	2.05	-0.103	0.467	-1.478	-2.55	-3.18	2.963	-0.323	-2.177
"ABO"	-1.953	-0.738	-1.207	-0.973	-1.215	-2.243	-0.393	-0.014	-0.17	-0.85	0.568	-1.715	-1.336
"ABR"	-0.904	-0.77	-0.574	-0.386	0.231	4.897	-0.611	-0.146	-1.261	-1.805	2.086	0.166	0.109
"ABRACL"	1.602	1.15	1.559	0.512	0.011	4.435	-0.992	-0.498	0.85	1.657	2.799	0.967	0.763
"ABT1"	0.581	0.525	0.32	0.408	0.467	-1.257	0.806	0.913	0.497	0.74	1.371	0.384	0.237
"ABTB1"	-1.351	-0.878	-1.543	0.974	0.193	3.293	-1.927	0.17	-1.791	-1.975	1.282	-1.117	-1.31
"ABTB2"	-0.577	-0.148	-0.088	0.239	-1.675	1.685	0.747	-0.015	-0.042	-0.13	1.63	0.426	1.147
"AC000078.5"	-0.676	-0.156	-0.507	0.054	0.186	1.373	-0.133	-0.162	-0.688	-0.847	-0.163	-0.879	-0.859
"AC000089.3"	1.439	0.117	0.243	-0.148	0.119	0.774	1.587	0.936	1.338	0.899	1.36	0.996	1.399
"AC000123.3"	-0.603	0.188	-0.41	0.456	0.647	0.079	0.342	-0.113	-1.262	-1.54	0.339	-0.905	-1.179
"AC000123.4"	-0.608	-0.057	-0.352	0.334	0.441	0.107	0.241	-0.221	-1.192	-1.395	0.142	-0.88	-1.036
"AC004538.3"	-0.809	-0.189	-0.737	0.105	-0.118	0.322	0.038	-1.415	-0.154	-0.337	0.408	-0.373	-0.338
"AC005062.2"	-1.217	-1.146	-0.911	-0.477	-0.09	0.744	0.428	0.449	-0.482	-0.999	0.75	-0.899	-0.477
